Initial T_old/T 	 Initial P_old/P 	 Initial Error 	 Error after 1000 conv. rounds 	 Ratio of initial to final error
0.990000000 	 0.999999900 	 -8.980176744E+09 	 6.287213789E+07 	 -7.001213860E-03
0.999000000 	 0.999999900 	 -8.914780643E+09 	 6.281591522E+07 	 -7.046265942E-03
0.999900000 	 0.999999900 	 -8.908722469E+09 	 6.274726306E+07 	 -7.043351421E-03
0.999990000 	 0.999999900 	 -8.908121233E+09 	 -6.274101826E+07 	 7.043125774E-03
0.999999000 	 0.999999900 	 -8.908061160E+09 	 -6.294353332E+07 	 7.065907181E-03
0.999999900 	 0.999999900 	 -8.908055152E+09 	 6.282514327E+07 	 -7.052621722E-03
0.999999990 	 0.999999900 	 -8.908054552E+09 	 -6.280878799E+07 	 7.050786187E-03
0.999999999 	 0.999999900 	 -8.908054492E+09 	 -6.291863174E+07 	 7.063117070E-03
0.900000000 	 0.999999990 	 -1.038136636E+10 	 -7.457894895E+07 	 7.183924195E-03
0.990000000 	 0.999999990 	 -8.980179078E+09 	 6.287257873E+07 	 -7.001261131E-03
0.999000000 	 0.999999990 	 -8.914782900E+09 	 6.273614698E+07 	 -7.037316297E-03
0.999900000 	 0.999999990 	 -8.908724719E+09 	 -6.291469555E+07 	 7.062143857E-03
0.999990000 	 0.999999990 	 -8.908123482E+09 	 -6.277345148E+07 	 7.046764855E-03
0.999999000 	 0.999999990 	 -8.908063409E+09 	 -6.279639700E+07 	 7.049388191E-03
0.999999900 	 0.999999990 	 -8.908057401E+09 	 -6.283796082E+07 	 7.054058813E-03
0.999999990 	 0.999999990 	 -8.908056801E+09 	 -6.294162427E+07 	 7.065696333E-03
0.999999999 	 0.999999990 	 -8.908056741E+09 	 -6.274398615E+07 	 7.043509934E-03
0.900000000 	 0.999999999 	 -1.038136673E+10 	 7.450940124E+07 	 -7.177224655E-03
0.990000000 	 0.999999999 	 -8.980179312E+09 	 -6.300415125E+07 	 7.015912385E-03
0.999000000 	 0.999999999 	 -8.914783126E+09 	 6.289497598E+07 	 -7.055132480E-03
0.999900000 	 0.999999999 	 -8.908724944E+09 	 -6.274999687E+07 	 7.043656333E-03
0.999990000 	 0.999999999 	 -8.908123707E+09 	 6.274071721E+07 	 -7.043090024E-03
0.999999000 	 0.999999999 	 -8.908063634E+09 	 -6.271734636E+07 	 7.040513959E-03
0.999999900 	 0.999999999 	 -8.908057627E+09 	 6.270462641E+07 	 -7.039090792E-03
0.999999990 	 0.999999999 	 -8.908057026E+09 	 -6.290558534E+07 	 7.061650499E-03
0.999999999 	 0.999999999 	 -8.908056966E+09 	 -6.280114469E+07 	 7.049926256E-03
